x1,x2,y
-0.234418,0.094889,0
0.759026,-0.534575,0
-0.274294,-0.223756,0
-0.017917,-0.042315,0
0.383645,-0.241289,0
0.353879,-0.237173,0
-0.767286,-0.319056,0
-0.639865,0.331418,0
0.386102,-0.854800,0
-0.236601,0.071908,0
-0.796089,0.053691,0
-0.179301,-0.384293,0
0.432113,0.095398,0
-0.437004,0.515744,0
0.432630,-0.174196,0
-0.309677,-0.217733,0
-0.297979,-0.062188,0
0.392882,-0.226890,0
0.416840,0.241879,0
0.005256,-0.005387,0
-0.122566,-0.936959,0
0.105247,-0.416070,0
0.369266,0.343738,0
0.419311,-0.152909,0
-0.184499,-0.348218,0
-0.056173,0.103291,0
0.414232,-0.144479,0
-0.294537,-0.142320,0
-0.744884,-0.481387,0
-0.781541,-0.070904,0
0.401802,0.267429,0
0.229474,0.483569,0
0.116149,-0.439857,0
-0.239954,-0.284238,0
-0.293480,-0.222976,0
0.465377,0.248135,0
-0.785981,-0.032308,0
-0.028329,0.055782,0
0.798995,-0.562108,0
-0.576849,-0.715888,0
-0.286082,-0.123852,0
-0.803551,-0.044888,0
0.197649,0.526452,0
-0.017372,0.048168,0
-0.153327,0.126916,0
0.434496,0.217059,0
-0.001930,0.069486,0
-0.041299,0.098976,0
-0.638440,0.339556,0
-0.306223,-0.133505,0
-0.800726,-0.039504,0
-0.030033,0.075789,0
-0.143466,0.594023,0
-0.097549,0.090893,0
0.249086,-0.390112,0
0.092443,-0.419600,0
0.089735,-0.419894,0
0.861174,-0.419538,0
0.812417,-0.554036,0
-0.064557,0.047689,0
-0.188240,-0.349479,0
-0.140051,0.626588,0
0.427155,-0.028683,0
0.004646,-0.043800,0
0.909359,-0.286827,0
0.430221,-0.139519,0
0.374342,0.327319,0
-0.183164,-0.371896,0
0.058933,-0.941102,0
-0.195646,0.084184,0
-0.717703,0.196898,0
-0.270071,-0.254536,0
0.247389,-0.384686,0
-0.013911,0.037234,0
-0.177789,-0.401855,0
0.275916,0.458792,0
-0.731901,-0.440653,0
-0.020251,-0.427201,0
0.098555,-0.937352,0
-0.025364,-0.931322,0
0.599209,-0.706836,0
-0.250263,-0.279811,0
0.166374,0.530377,0
-0.647884,0.371343,0
-0.279473,0.027331,0
0.011106,-0.460418,0
0.422985,0.137437,0
-0.248791,0.033368,0
-0.148263,-0.399806,0
-0.282392,-0.173420,0
-0.440575,-0.782133,0
0.442481,-0.089704,0
-0.143228,0.063194,0
-0.194379,-0.932563,0
-0.300234,-0.259834,0
-0.252193,-0.320382,0
0.585838,-0.739527,0
0.348452,-0.234413,0
0.913269,-0.245491,0
-0.310187,-0.093740,0
0.289664,-0.904594,0
-0.189825,0.080130,0
0.420566,-0.108735,0
-0.571437,-0.648386,0
-0.220574,0.056602,0
-0.002342,-0.018110,0
-0.082212,-0.422389,0
-0.070586,0.596947,0
-0.756835,0.083132,0
0.015760,0.015627,0
-0.152469,-0.433589,0
-0.258451,-0.906648,0
0.875257,-0.387339,0
0.839476,-0.416401,0
-0.029957,0.053532,0
0.013635,-0.990626,0
-0.216266,0.098721,0
-0.297784,-0.108805,0
-0.773938,0.069218,0
-0.019856,-0.051296,0
-0.723791,-0.414724,0
-0.063266,0.066760,0
-0.487184,0.505026,0
0.139216,0.567161,0
0.261936,0.441373,0
-0.794802,0.038658,0
-0.042624,0.070623,0
0.370296,-0.255526,0
0.387226,0.338730,0
-0.533834,-0.725341,0
0.021303,-0.410462,0
-0.014307,0.015036,0
-0.088773,-0.447343,0
-0.003026,-0.016939,0
0.318028,-0.921082,0
-0.032040,-0.456197,0
-0.783436,-0.042629,0
-0.199854,-0.358609,0
0.278382,-0.933346,0
-0.281682,-0.055057,0
0.189134,-0.398979,0
-0.330982,0.562504,0
-0.031062,-0.015448,0
-0.010410,-0.011980,0
-0.113448,-0.405186,0
-0.293809,-0.274385,0
-0.042521,-0.919170,0
0.411114,0.254425,0
0.730806,-0.626281,0
-0.010238,-0.058276,0
-0.801491,-0.083514,0
-0.650542,0.351528,0
-0.493547,0.495562,0
-0.749420,0.118140,0
0.371406,0.310114,0
-0.744923,-0.374854,0
-0.099508,0.095977,0
0.142050,-0.419090,0
-0.303329,-0.296239,0
-0.800518,-0.037800,0
-0.250066,0.614587,0
-0.282412,-0.245970,0
0.938911,-0.149923,0
0.429677,-0.076198,0
0.267923,-0.909720,0
0.339677,0.369175,0
-0.682420,0.235017,0
0.019961,0.616244,0
-0.320370,-0.180194,0
-0.552109,0.467861,0
-0.017386,0.013021,0
0.293450,0.404777,0
-0.115817,0.099314,0
0.273303,-0.336708,0
0.492869,-0.792288,0
-0.248731,-0.015999,0
0.008224,-0.017190,0
-0.515426,-0.718777,0
0.244539,-0.362998,0
-0.081520,-0.411721,0
-0.542155,-0.693262,0
-0.221729,0.049648,0
-0.089719,0.587490,0
0.313865,-0.348244,0
-0.276737,-0.315631,0
-0.363442,-0.859989,0
-0.791508,0.082550,0
0.367528,0.380268,0
0.395866,-0.184250,0
0.001001,-0.031726,0
-0.004671,-0.044628,0
0.944381,-0.049119,0
-0.309883,-0.032550,0
0.597944,-0.740100,0
-0.455022,0.528023,0
-0.579654,0.372058,0
-0.257004,0.027146,0
-0.137103,0.097745,0
-0.322780,-0.110878,0
-0.124258,0.082339,0
0.568480,-0.747767,0
0.382849,-0.233249,0
-0.180177,-0.373915,0
-0.306965,-0.024626,0
-0.414870,-0.841643,0
-0.029863,-0.026195,0
-0.311849,-0.199361,0
-0.284172,0.581987,0
-0.233276,0.080133,0
-0.792588,-0.284558,0
0.443745,-0.145691,0
-0.779028,-0.036387,0
-0.321151,-0.152402,0
0.344719,-0.322686,0
0.244667,-0.388243,0
-0.656348,0.320574,0
-0.758661,-0.260726,0
-0.025077,-0.029551,0
-0.004922,0.004263,0
0.445421,0.143148,0
-0.180020,-0.365063,0
0.484275,0.063623,0
-0.190588,-0.909171,0
0.326050,-0.345590,0
-0.153479,-0.400710,0
-0.280018,0.004146,0
-0.533173,0.461925,0
-0.192186,-0.360157,0
-0.261415,-0.244859,0
0.800011,-0.545460,0
-0.014250,0.587257,0
-0.740820,0.102137,0
0.227555,0.496140,0
-0.143445,0.097226,0
-0.120670,-0.403265,0
-0.006644,-0.038295,0
0.703020,-0.641181,0
0.269994,-0.369152,0
0.409050,-0.166351,0
-0.004663,0.098140,0
-0.209209,0.082101,0
-0.004761,0.066848,0
0.023510,-0.022306,0
0.456269,-0.011591,0
-0.323367,0.592348,0
-0.023928,0.060401,0
-0.217735,0.102550,0
-0.266886,0.033706,0
-0.735285,0.096942,0
0.435453,0.212546,0
0.004343,0.051661,0
0.921480,-0.189640,0
-0.713708,0.292807,0
-0.027603,0.027574,0
-0.225301,0.130944,0
-0.663412,-0.586148,0
0.420676,0.286937,0
-0.794024,-0.166290,0
-0.804753,-0.222078,0
-0.174542,0.064544,0
-0.714102,-0.489655,0
-0.285849,-0.219779,0
0.360623,-0.315053,0
-0.312041,-0.137399,0
-0.471075,-0.753382,0
0.901063,-0.336639,0
0.004849,0.019870,0
-0.285742,-0.051749,0
0.228761,0.485033,0
-0.285896,-0.237883,0
-0.091025,-0.417713,0
0.936115,-0.116725,0
-0.330676,0.550726,0
-0.364384,0.543220,0
0.397514,0.214692,0
-0.247984,-0.283784,0
0.465962,0.075444,0
-0.075994,-0.415448,0
-0.720138,0.250383,0
-0.303470,-0.145715,0
-0.065773,-0.430454,0
0.341653,-0.329512,0
-0.306772,0.591738,0
